Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Avg Time Connected,Avg Commands Run,Avg File Modifications
110,3,2022-10-21 01:05:08.798,-0.152,0,0,2022-10-21-0609_DATABASE_3_log,,,,
111,1,2022-10-21 01:05:08.799,-0.142,0,0,2022-10-21-0616_DATABASE_1_log,,,,
112,4,2022-10-21 01:05:08.799,-0.097,0,0,2022-10-21-0616_DATABASE_4_log,,,,
113,1,2022-10-21 01:05:08.799,-0.095,0,0,2022-10-21-0629_DATABASE_1_log,,,,
114,3,2022-10-21 01:05:08.800,-0.095,0,0,2022-10-21-0629_DATABASE_3_log,,,,
115,2,2022-10-21 01:05:08.800,-0.094,0,0,2022-10-21-0631_DATABASE_2_log,,,,
116,4,2022-10-21 01:05:08.800,-0.093,0,0,2022-10-21-0639_DATABASE_4_log,,,,
117,2,2022-10-21 01:05:08.801,-0.093,0,0,2022-10-21-0642_DATABASE_2_log,,,,
118,2,2022-10-21 01:05:08.801,-0.092,0,0,2022-10-21-0644_DATABASE_2_log,,,,
119,4,2022-10-21 01:05:08.802,-0.092,0,0,2022-10-21-0645_DATABASE_4_log,,,,
120,4,2022-10-21 01:05:08.802,-0.092,0,0,2022-10-21-0646_DATABASE_4_log,,,,
121,4,2022-10-21 01:05:08.802,-0.076,0,0,2022-10-21-0647_DATABASE_4_log,,,,
122,2,2022-10-21 01:05:08.803,-0.075,0,0,2022-10-21-0656_DATABASE_2_log,,,,
123,1,2022-10-21 01:05:08.803,-0.075,0,0,2022-10-21-0701_DATABASE_1_log,,,,
124,1,2022-10-21 01:05:08.806,0.327,0,0,2022-10-21-0725_DATABASE_1_log,,,,
125,3,2022-10-21 01:05:08.806,0.328,0,0,2022-10-21-0726_DATABASE_3_log,,,,
126,1,2022-10-21 01:05:08.807,0.099,0,0,2022-10-21-0729_DATABASE_1_log,,,,
127,1,2022-10-21 01:05:08.807,0.734,0,0,2022-10-21-0734_DATABASE_1_log,,,,
128,1,2022-10-21 01:05:09.820,-0.167,0,0,2022-10-21-0735_DATABASE_1_log,,,,
129,2,2022-10-21 01:05:09.827,0,0,0,2022-10-21-0735_DATABASE_2_log,,,,
130,2,2022-10-21 01:05:09.827,0,0,0,2022-10-21-0751_DATABASE_2_log,,,,
131,2,2022-10-21 01:05:09.828,0,0,0,2022-10-21-0752_DATABASE_2_log,,,,
132,3,2022-10-21 01:05:09.828,0,0,0,2022-10-21-0758_DATABASE_3_log,,,,
133,4,2022-10-21 01:05:09.834,0,0,0,2022-10-21-0801_DATABASE_4_log,,,,
134,1,2022-10-21 01:10:21.687,0,0,0,2022-10-21-0802_DATABASE_1_log,,,,
135,2,2022-10-21 01:10:21.942,0.572,0,0,2022-10-21-0804_DATABASE_2_log,,,,
136,3,2022-10-21 01:14:07.574,0.007,0,0,2022-10-21-0808_DATABASE_3_log,,,,
137,1,2022-10-21 01:14:07.581,0.316,0,0,2022-10-21-0815_DATABASE_1_log,,,,
138,2,2022-10-21 01:14:07.592,0.213,0,0,2022-10-21-0815_DATABASE_2_log,,,,
139,4,2022-10-21 01:14:07.593,0.099,0,0,2022-10-21-0815_DATABASE_4_log,,,,
140,1,2022-10-21 01:14:07.594,0.029,0,0,2022-10-21-0831_DATABASE_1_log,,,,
141,1,2022-10-21 01:14:07.594,0.078,0,0,2022-10-21-0842_DATABASE_1_log,,,,
142,1,2022-10-21 01:14:07.594,-0.948,0,0,2022-10-21-0848_DATABASE_1_log,,,,
143,1,2022-10-21 01:14:07.594,0.335,0,0,2022-10-21-0905_DATABASE_1_log,,,,
144,1,2022-10-21 01:14:07.595,0.321,0,0,2022-10-21-0937_DATABASE_1_log,,,,
145,1,2022-10-21 01:14:07.595,0.796,0,0,2022-10-21-1001_DATABASE_1_log,,,,
146,1,2022-10-21 01:14:07.596,0.352,0,0,2022-10-21-1002_DATABASE_1_log,,,,
147,3,2022-10-21 01:14:07.596,0.345,0,0,2022-10-21-1053_DATABASE_3_log,,,,
148,1,2022-10-21 01:14:07.600,0.371,0,0,2022-10-21-1122_DATABASE_1_log,,,,
149,3,2022-10-21 01:14:07.600,-0.657,0,0,2022-10-21-1123_DATABASE_3_log,,,,
150,1,2022-10-21 01:14:07.600,0.076,0,0,2022-10-21-1136_DATABASE_1_log,,,,
151,1,2022-10-21 01:14:07.602,0.114,0,0,2022-10-21-1138_DATABASE_1_log,,,,
152,1,2022-10-21 01:14:07.602,0.179,0,0,2022-10-21-1225_DATABASE_1_log,,,,
153,1,2022-10-21 01:14:07.602,0.18,0,0,2022-10-21-1257_DATABASE_1_log,,,,
154,1,2022-10-21 01:14:07.602,0.18,0,0,2022-10-21-1313_DATABASE_1_log,,,,
155,1,2022-10-21 01:14:07.603,0.35,0,0,2022-10-21-1314_DATABASE_1_log,,,,
156,2,2022-10-21 01:14:07.603,-0.102,0,0,2022-10-21-1331_DATABASE_2_log,,,,
157,2,2022-10-21 01:14:07.609,-0.038,0,0,2022-10-21-1332_DATABASE_2_log,,,,
158,4,2022-10-21 01:14:07.610,0.203,0,0,2022-10-21-1333_DATABASE_4_log,,,,
159,1,2022-10-21 01:14:07.611,-0.73,0,0,2022-10-21-1336_DATABASE_1_log,,,,
