Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Total # Attackers,# Relevant Attackers,Avg Time Connected,Avg Commands Run,Avg File Modifications
185,1,18:51.0,0.677,0,0,2022-10-21-1653_DATABASE_1_log,,,,,,
186,3,18:51.0,0.679,0,0,2022-10-21-1709_DATABASE_3_log,,,,,,
187,2,18:51.0,-0.66,0,0,2022-10-21-1727_DATABASE_2_log,,,,,,
188,1,18:51.0,0.051,0,0,2022-10-21-1728_DATABASE_1_log,,,,,,
189,2,18:51.1,-0.731,0,0,2022-10-21-1744_DATABASE_2_log,,,,,,
190,2,18:51.1,0.014,0,0,2022-10-21-1749_DATABASE_2_log,,,,,,
191,1,18:51.1,-0.33,0,0,2022-10-21-1753_DATABASE_1_log,,,,,,
192,2,18:51.1,-0.639,0,0,2022-10-21-1757_DATABASE_2_log,,,,,,
193,2,18:51.1,0.063,0,0,2022-10-21-1804_DATABASE_2_log,,,,,,
194,2,18:51.1,0.026,0,0,2022-10-21-1805_DATABASE_2_log,,,,,,
195,1,18:51.1,0.891,0,0,2022-10-21-1811_DATABASE_1_log,,,,,,
196,1,18:51.1,-0.583,0,0,2022-10-21-1817_DATABASE_1_log,,,,,,
197,2,18:51.1,-0.285,0,0,2022-10-21-1822_DATABASE_2_log,,,,,,
198,4,18:51.1,0.341,0,0,2022-10-21-1834_DATABASE_4_log,,,,,,
199,3,18:51.1,0.036,0,0,2022-10-21-1845_DATABASE_3_log,,,,,,
200,1,18:51.1,0.053,0,0,2022-10-21-1903_DATABASE_1_log,,,,,,
201,2,18:51.1,-0.85,0,0,2022-10-21-1904_DATABASE_2_log,,,,,,
202,2,18:51.1,-0.849,0,0,2022-10-21-1905_DATABASE_2_log,,,,,,
203,4,18:51.1,-0.848,0,0,2022-10-21-1911_DATABASE_4_log,,,,,,
204,2,18:51.1,-0.847,0,0,2022-10-21-1916_DATABASE_2_log,,,,,,
205,2,18:51.1,-0.845,0,0,2022-10-21-1917_DATABASE_2_log,,,,,,
206,4,18:51.1,-0.844,0,0,2022-10-21-1922_DATABASE_4_log,,,,,,
207,4,18:51.6,-0.839,0,0,2022-10-21-1927_DATABASE_4_log,,,,,,
208,1,18:51.7,-0.838,0,0,2022-10-21-1931_DATABASE_1_log,,,,,,
209,3,18:51.7,-0.838,0,0,2022-10-21-1932_DATABASE_3_log,,,,,,
210,2,18:52.5,-0.836,0,0,2022-10-21-1933_DATABASE_2_log,,,,,,
211,4,18:52.5,-0.831,0,0,2022-10-21-1934_DATABASE_4_log,,,,,,
212,1,18:08.3,-0.829,0,0,2022-10-21-1947_DATABASE_1_log,,,,,,
213,2,20:46.4,-0.829,0,0,2022-10-21-1955_DATABASE_2_log,,,,,,
214,4,26:27.8,-0.827,0,0,2022-10-21-1955_DATABASE_4_log,,,,,,
215,2,26:27.8,-0.824,0,0,2022-10-21-2009_DATABASE_2_log,,,,,,
216,2,26:27.8,-0.823,0,0,2022-10-21-2013_DATABASE_2_log,,,,,,
217,2,26:27.8,-0.822,0,0,2022-10-21-2022_DATABASE_2_log,,,,,,
218,1,26:27.8,0.231,0,0,2022-10-21-2030_DATABASE_1_log,,,,,,
219,1,26:27.8,0.501,0,0,2022-10-21-2032_DATABASE_1_log,,,,,,
220,1,26:27.8,-0.652,1,0,2022-10-21-2033_DATABASE_1_log,,,,,,
221,1,26:27.8,-0.239,0,0,2022-10-21-2037_DATABASE_1_log,,,,,,
222,1,26:27.8,0.035,0,0,2022-10-21-2038_DATABASE_1_log,,,,,,
223,4,26:27.9,-0.717,0,0,2022-10-21-2039_DATABASE_4_log,,,,,,
224,1,26:27.9,-0.232,0,0,2022-10-21-2040_DATABASE_1_log,,,,,,
225,1,26:27.9,-0.182,3,0,2022-10-21-2042_DATABASE_1_log,,,,,,
226,1,26:27.9,-0.126,0,0,2022-10-21-2044_DATABASE_1_log,,,,,,
227,2,26:27.9,0.222,0,0,2022-10-21-2045_DATABASE_2_log,,,,,,
228,1,26:27.9,0.062,0,0,2022-10-21-2054_DATABASE_1_log,,,,,,
229,3,26:27.9,0.063,0,0,2022-10-21-2058_DATABASE_3_log,,,,,,
230,3,26:27.9,-0.063,0,0,2022-10-21-2059_DATABASE_3_log,,,,,,
231,1,26:27.9,0.163,0,0,2022-10-21-2112_DATABASE_1_log,,,,,,
232,2,26:27.9,0.193,0,0,2022-10-21-2113_DATABASE_2_log,,,,,,
233,3,26:30.0,0.204,0,0,2022-10-21-2113_DATABASE_3_log,,,,,,
234,4,31:57.5,0.206,0,0,2022-10-21-2113_DATABASE_4_log,,,,,,
235,4,31:57.5,0.207,0,0,2022-10-21-2118_DATABASE_4_log,,,,,,
236,3,31:57.5,0.208,0,0,2022-10-21-2120_DATABASE_3_log,,,,,,
237,3,31:57.5,0.218,0,0,2022-10-21-2121_DATABASE_3_log,,,,,,
238,4,31:57.5,0.247,0,0,2022-10-21-2127_DATABASE_4_log,,,,,,
239,4,31:57.5,0.248,0,0,2022-10-21-2132_DATABASE_4_log,,,,,,
240,2,31:57.5,0.248,72,73,2022-10-21-2133_DATABASE_2_log,,,,,,
241,3,31:57.5,0.264,0,0,2022-10-21-2138_DATABASE_3_log,,,,,,
242,3,31:57.5,0.282,0,0,2022-10-21-2139_DATABASE_3_log,,,,,,
243,3,31:57.5,0.025,0,0,2022-10-21-2141_DATABASE_3_log,,,,,,
244,3,31:57.5,-0.197,0,0,2022-10-21-2147_DATABASE_3_log,,,,,,
245,2,31:57.5,0.042,0,0,2022-10-21-2148_DATABASE_2_log,,,,,,
246,1,31:57.5,0.042,2,0,2022-10-21-2149_DATABASE_1_log,,,,,,
247,2,31:57.5,0.182,0,0,2022-10-21-2149_DATABASE_2_log,,,,,,
248,4,31:57.5,0.183,0,0,2022-10-21-2150_DATABASE_4_log,,,,,,
249,1,31:57.5,0.183,6,0,2022-10-21-2151_DATABASE_1_log,,,,,,
250,4,31:57.5,0.186,0,0,2022-10-21-2153_DATABASE_4_log,,,,,,
251,1,31:57.5,0.187,5,0,2022-10-21-2155_DATABASE_1_log,,,,,,
252,1,31:57.5,0.188,5,0,2022-10-21-2156_DATABASE_1_log,,,,,,
253,2,31:57.5,0.189,0,0,2022-10-21-2159_DATABASE_2_log,,,,,,
254,1,31:57.5,0.189,0,0,2022-10-21-2204_DATABASE_1_log,,,,,,
255,1,31:57.5,0.19,0,0,2022-10-21-2208_DATABASE_1_log,,,,,,
256,2,31:57.5,0.192,0,0,2022-10-21-2208_DATABASE_2_log,,,,,,
257,3,31:57.5,0.203,0,0,2022-10-21-2208_DATABASE_3_log,,,,,,
258,4,31:57.5,0.211,0,0,2022-10-21-2208_DATABASE_4_log,,,,,,
259,1,31:57.5,0.212,0,0,2022-10-21-2216_DATABASE_1_log,,,,,,
260,2,31:57.5,0.212,0,0,2022-10-21-2216_DATABASE_2_log,,,,,,
261,3,31:57.5,0.214,0,0,2022-10-21-2217_DATABASE_3_log,,,,,,
262,4,31:57.5,0.217,0,0,2022-10-21-2217_DATABASE_4_log,,,,,,
263,1,31:57.5,0.219,0,0,2022-10-21-2223_DATABASE_1_log,,,,,,
264,2,31:57.5,0.034,0,0,2022-10-21-2223_DATABASE_2_log,,,,,,
265,3,31:57.5,0.036,0,0,2022-10-21-2223_DATABASE_3_log,,,,,,
266,4,31:57.5,0.328,0,0,2022-10-21-2223_DATABASE_4_log,,,,,,
267,4,31:57.5,-0.058,0,0,2022-10-21-2234_DATABASE_4_log,,,,,,
268,1,31:57.5,-0.047,0,0,2022-10-21-2235_DATABASE_1_log,,,,,,
269,2,31:57.5,0.078,0,0,2022-10-21-2235_DATABASE_2_log,,,,,,
270,3,31:57.5,0.078,0,0,2022-10-21-2235_DATABASE_3_log,,,,,,
271,4,31:57.5,0.089,0,0,2022-10-21-2235_DATABASE_4_log,,,,,,
272,1,31:57.5,0.096,0,0,2022-10-21-2241_DATABASE_1_log,,,,,,
273,4,31:57.5,0.099,0,0,2022-10-21-2241_DATABASE_4_log,,,,,,
274,2,32:22.6,0.101,0,0,2022-10-21-2310_DATABASE_2_log,,,,,,
275,2,32:22.6,0.137,0,0,2022-10-21-2313_DATABASE_2_log,,,,,,
276,1,32:24.8,0.155,0,0,2022-10-21-2321_DATABASE_1_log,,,,,,
277,3,32:24.8,0.164,0,0,2022-10-21-2322_DATABASE_3_log,,,,,,
278,4,32:24.8,0.164,0,0,2022-10-21-2346_DATABASE_4_log,,,,,,
279,2,32:24.8,0.17,0,0,2022-10-22-0000_DATABASE_2_log,,,,,,
280,4,32:24.8,0.175,0,0,2022-10-22-0003_DATABASE_4_log,,,,,,
281,1,32:24.8,0.175,0,0,2022-10-22-0010_DATABASE_1_log,,,,,,
282,3,32:24.8,0.218,0,0,2022-10-22-0035_DATABASE_3_log,,,,,,
283,2,32:24.8,0.219,0,0,2022-10-22-0042_DATABASE_2_log,,,,,,
284,3,32:25.7,0.22,0,0,2022-10-22-0324_DATABASE_3_log,,,,,,
285,3,32:25.7,0.224,0,0,2022-10-22-0330_DATABASE_3_log,,,,,,
286,4,32:25.7,-0.685,0,0,2022-10-22-0333_DATABASE_4_log,,,,,,
287,3,32:25.7,0.336,0,0,2022-10-22-0334_DATABASE_3_log,,,,,,
288,4,32:25.7,0.338,0,0,2022-10-22-0336_DATABASE_4_log,,,,,,
289,1,39:41.7,0.379,0,0,2022-10-22-0350_DATABASE_1_log,,,,,,
290,1,50:33.9,0.382,0,0,2022-10-22-0351_DATABASE_1_log,,,,,,
291,1,58:15.4,0.401,0,0,2022-10-22-0352_DATABASE_1_log,,,,,,
292,1,00:31.7,0.405,0,0,2022-10-22-0353_DATABASE_1_log,,,,,,
293,1,10:51.3,0.406,0,0,2022-10-22-0354_DATABASE_1_log,,,,,,
294,1,12:22.5,0.406,0,0,2022-10-22-0355_DATABASE_1_log,,,,,,
295,1,12:41.1,0.444,0,0,2022-10-22-0411_DATABASE_1_log,,,,,,
296,2,21:00.1,0.445,0,0,2022-10-22-0411_DATABASE_2_log,,,,,,
297,3,21:00.1,0.447,0,0,2022-10-22-0411_DATABASE_3_log,,,,,,
